Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
01053,BOURG EN BRESSE,01000,BROU,BOURG EN BRESSE,"46.2051520382,5.24602125501",01
01053,BOURG EN BRESSE,01000,"",BOURG EN BRESSE,"46.2051520382,5.24602125501",01
01344,ST DENIS LES BOURG,01000,"",ST DENIS LES BOURG,"46.2111998453,5.18462806771",01
01165,FRANCHELEINS,01090,"",FRANCHELEINS,"46.0735946256,4.81293575559",01
01183,GUEREINS,01090,"",GUEREINS,"46.106624674,4.78159420118",01
01169,GENOUILLEUX,01090,"",GENOUILLEUX,"46.1201611728,4.79288195016",01
01225,LURCY,01090,"",LURCY,"46.061730034,4.78075207026",01
01258,MONTCEAUX,01090,"",MONTCEAUX,"46.0962893261,4.80453564172",01
01263,MONTMERLE SUR SAONE,01090,"",MONTMERLE SUR SAONE,"46.0849573236,4.7608579486",01
01165,FRANCHELEINS,01090,AMAREINS,FRANCHELEINS,"46.0735946256,4.81293575559",01
01165,FRANCHELEINS,01090,CESSEINS,FRANCHELEINS,"46.0735946256,4.81293575559",01
01011,APREMONT,01100,"",APREMONT,"46.2054981558,5.65781475272",01
01031,BELLIGNAT,01100,"",BELLIGNAT,"46.2373497134,5.6360052884",01
01283,OYONNAX,01100,BOUVENT,OYONNAX,"46.2605435859,5.65344320923",01
01237,MARTIGNAT,01100,"",MARTIGNAT,"46.2030768095,5.61384033805",01
01283,OYONNAX,01100,VEYZIAT,OYONNAX,"46.2605435859,5.65344320923",01
01014,ARBENT,01100,"",ARBENT,"46.2834936005,5.69061651221",01
01171,GEOVREISSET,01100,"",GEOVREISSET,"46.2508621615,5.61271973915",01
01181,GROISSIAT,01100,"",GROISSIAT,"46.2260039429,5.61095413441",01
01283,OYONNAX,01100,"",OYONNAX,"46.2605435859,5.65344320923",01
01185,PLATEAU D HAUTEVILLE,01110,THEZILLIEU,PLATEAU D HAUTEVILLE,"45.9696520061,5.57627261783",01
01080,CHAMPDOR CORCELLES,01110,CHAMPDOR,CHAMPDOR CORCELLES,"46.0198844188,5.60008759722",01
01185,PLATEAU D HAUTEVILLE,01110,CORMARANCHE EN BUGEY,PLATEAU D HAUTEVILLE,"45.9696520061,5.57627261783",01
01012,ARANC,01110,"",ARANC,"46.0015344029,5.51130637511",01
