Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35319,ST THURIAL,35310,"",ST THURIAL,"48.0335297683,-1.94037369583",35
35037,BREAL SOUS MONTFORT,35310,"",BREAL SOUS MONTFORT,"48.044637167,-1.86571618785",35
35030,LA BOSSE DE BRETAGNE,35320,"",LA BOSSE DE BRETAGNE,"47.8682982413,-1.58824965901",35
35090,CREVIN,35320,"",CREVIN,"47.9303708982,-1.65657334896",35
35140,LALLEU,35320,"",LALLEU,"47.8562627684,-1.52230618592",35
35218,LE PETIT FOUGERAY,35320,"",LE PETIT FOUGERAY,"47.9280508952,-1.61613769556",35
35212,PANCE,35320,"",PANCE,"47.8889653573,-1.64257071034",35
35231,POLIGNE,35320,"",POLIGNE,"47.8990359513,-1.68518288272",35
35089,LA COUYERE,35320,"",LA COUYERE,"47.8939265628,-1.50149818667",35
35321,SAULNIERES,35320,"",SAULNIERES,"47.9194668221,-1.57761100368",35
35322,LE SEL DE BRETAGNE,35320,"",LE SEL DE BRETAGNE,"47.8978195482,-1.60609578245",35
35343,TRESBOEUF,35320,"",TRESBOEUF,"47.8809229293,-1.55314201505",35
35035,BOVEL,35330,"",BOVEL,"47.9563331223,-1.95993951204",35
35084,COMBLESSAC,35330,"",COMBLESSAC,"47.872461539,-2.08792248915",35
35168,VAL D ANAST,35330,CAMPEL,VAL D ANAST,"47.8971012974,-1.99867854689",35
35311,ST SEGLIN,35330,"",ST SEGLIN,"47.8510645344,-2.02652054855",35
35168,VAL D ANAST,35330,MAURE DE BRETAGNE,VAL D ANAST,"47.8971012974,-1.99867854689",35
35057,LA CHAPELLE BOUEXIC,35330,"",LA CHAPELLE BOUEXIC,"47.9365752557,-1.92323342783",35
35175,MERNEL,35330,"",MERNEL,"47.8982561483,-1.95140326249",35
35160,LOUTEHEL,35330,"",LOUTEHEL,"47.9372074975,-2.08044398757",35
35046,LES BRULAIS,35330,"",LES BRULAIS,"47.8907025068,-2.05725373415",35
35031,LA BOUEXIERE,35340,"",LA BOUEXIERE,"48.1743733249,-1.43646357128",35
35107,ERCE PRES LIFFRE,35340,"",ERCE PRES LIFFRE,"48.2542003303,-1.51716704496",35
35152,LIFFRE,35340,"",LIFFRE,"48.204097581,-1.51420907793",35
35122,LA GOUESNIERE,35350,"",LA GOUESNIERE,"48.6030701902,-1.88737306807",35
35263,ST COULOMB,35350,"",ST COULOMB,"48.677369423,-1.92087004371",35
35299,ST MELOIR DES ONDES,35350,"",ST MELOIR DES ONDES,"48.6387125438,-1.90517612803",35
35320,ST UNIAC,35360,"",ST UNIAC,"48.1669783756,-2.03378556474",35
